,course_link,course_title,course_type,author,price,price_with_video,course_rating,course_rating_count,rubies,target_color,beginning,casual,intermediate,advanced,expert,language,instruction_word_count,free_video,trainable_variations,avg_line_depth,released_on,support_level,section
262,https://www.chessable.com/the-london-system-essential-theory/course/15820/,The London System: Essential Theory,MoveTrainer™ Opening course,"IM John Bartholomew (2534 USCF, 2446 FIDE) and",€21.00,€105.00,4.5,157,252,white pieces,0.0,1.0,1.0,0.0,0.0,English,"22,621",1 hour and 7 minutes,91,9.95,"Nov 19, 2018",High,🎓 Titled player
263,https://www.chessable.com/the-accelerated-queens-indian-defense-a-full-repertoire-against-1-d4-1-c4-and-1-nf3/course/32956/,"The Accelerated Queen's Indian Defense - a full repertoire against 1. d4, 1. c4 and 1. Nf3",MoveTrainer™ Opening course,"FM Yuriy Krykun (2506 USCF, 2382 FIDE)",€30.99,€20.99,4.5,31,211,black pieces,0.0,1.0,1.0,1.0,1.0,English,"60,890",1 hour and 48 minutes,332,14.13,"May 11, 2020",High,🎓 Titled player
264,https://www.chessable.com/the-accelerated-rossolimo/course/35117/,The Accelerated Rossolimo,MoveTrainer™ Opening course,"FM Yuriy Krykun (2506 USCF, 2382 FIDE)",€21.99,€65.98,4.9,14,41,white pieces,0.0,1.0,1.0,1.0,1.0,English,"22,286",35 minutes,132,13.13,"Apr 03, 2020",High,🎓 Titled player
265,https://www.chessable.com/the-complete-scotch/course/20476/,The Complete Scotch,MoveTrainer™ Opening course,Chessinblackandwhite (2033 USCF) &,€20.99,€20.99,4.5,22,15,white pieces,0.0,1.0,1.0,1.0,0.0,,"21,149",,198,13.39,"Dec 19, 2019",High,🌎 Community
266,https://www.chessable.com/1001-chess-exercises-for-beginners/course/8038/,1001 Chess Exercises for Beginners,MoveTrainer™ Tactics course,New in Chess,€21.99,€21.99,4.6,462,653,both pieces,1.0,1.0,1.0,0.0,0.0,English,"14,238",,967,2.41,"Dec 21, 2017",Community,📚 Publisher
267,https://www.chessable.com/1001-chess-exercises-for-club-players/course/21646/,1001 Chess Exercises For Club Players,MoveTrainer™ Tactics course,FM Frank Erwich & New in Chess,€21.00,€21.00,4.6,80,419,both pieces,0.0,1.0,1.0,1.0,0.0,English,"40,509",,1001,3.76,"Apr 01, 2019",Community,📚 Publisher
268,https://www.chessable.com/tactics-time-1/course/21108/,Tactics Time 1,MoveTrainer™ Tactics course,"Tim Brennan, Anthea Carson & New in Chess",€21.00,€21.00,4.5,137,228,both pieces,1.0,1.0,1.0,0.0,0.0,English,"19,474",,1000,2.11,"Mar 18, 2019",Community,📚 Publisher
269,https://www.chessable.com/tactics-time-2/course/24008/,Tactics Time 2,MoveTrainer™ Tactics course,"Tim Brennan, Anthea Carson & New in Chess",€21.00,€21.00,3.8,27,151,both pieces,1.0,1.0,1.0,0.0,0.0,English,"9,366",,1000,2.00,"Jun 03, 2019",Community,📚 Publisher
270,https://www.chessable.com/tournament-ready-checkmates/course/33344/,Tournament Ready: Checkmates,MoveTrainer™ Tactics course,"GM Daniel King, WFM Sarah Longson & UK Chess Challenge",€22.99,€45.98,4.2,10,13,white pieces,1.0,1.0,0.0,0.0,0.0,English,"5,573",15 minutes,212,1.33,"Apr 06, 2020",High,📚 Publisher
271,https://www.chessable.com/tournament-ready-tactics/course/33346/,Tournament Ready: Tactics,MoveTrainer™ Tactics course,"GM Daniel King, WFM Sarah Longson & UK Chess Challenge",€22.99,€45.98,4.8,9,6,white pieces,1.0,1.0,0.0,0.0,0.0,English,"5,166",18 minutes,244,1.89,"Apr 06, 2020",High,📚 Publisher
