,course_link,course_title,course_type,author,price,price_with_video,course_rating,course_rating_count,rubies,target_color,beginning,casual,intermediate,advanced,expert,language,instruction_word_count,free_video,trainable_variations,avg_line_depth,released_on,support_level,section
122,smash-the-scandinavian-defense/course/32030/,Smash the Scandinavian Defense,Opening course,"ZacAttack (2100 Online Rating, 1600 USCF)",4.49,4.49,5,3,0,white pieces,1,1,1,0,0,English,"17,544",,39,21.13,"Apr 29, 2020",Medium,Community
123,demolish-white-with-the-sicilian-a-complete-repertoire-against-1e4-part-1-/course/8992/,Demolish White With The Sicilian: A Complete Repertoire Against 1.e4: Part 1,Opening course,"MozartofChess (2041 Online Rating, 1893 FIDE)",4.25,4.25,4,14,32,black pieces,1,1,1,0,0,English,"2,012",,69,21.59,"Aug 24, 2018",Unspecified,Community
124,fighting-the-pirc-and-modern/course/8996/,Fighting the Pirc and Modern,Opening course,"NM mn79 (2215 USCF, 2115 FIDE)",4.25,4.25,4,23,12,white pieces,0,1,1,1,0,English,"13,250",,71,10.71,"Feb 19, 2018",High,Community
125,scotch-gambit-modern-attack-beginners-guide-/course/13869/,Scotch Gambit - Modern Attack - Beginner's Guide,Opening course,NM Han Schut,4.25,4.25,4,35,55,white pieces,1,1,1,0,0,English,"2,508",,32,18.79,"Aug 31, 2018",High,Titled player
126,a-modern-repertoire-against-the-catalan/course/10316/,A Modern Repertoire Against The Catalan,Opening course,"NM mn79 (2215 USCF, 2115 FIDE)",4.25,4.25,4,10,55,black pieces,0,1,1,1,0,English,"11,109",,97,13.35,"Apr 05, 2018",High,Community
127,gm-alex-colovics-simplest-scandinavian/course/3457/,GM Alex Colovic's Simplest Scandinavian,Opening course,GM Alex Colovic,4.25,4.25,4,24,21,black pieces,1,1,0,0,0,English,"1,051",,13,13.47,"Oct 13, 2016",Unspecified,Titled player
128,the-semi-slav-defense-masterclass-edition/course/2952/,The Semi-Slav Defense: Masterclass Edition,Opening course,"GermanMC (2044 USCF, 1850 FIDE)",4.25,4.25,4,24,39,black pieces,0,0,1,0,0,English,"4,113",,89,12.95,"Aug 27, 2016",Unspecified,Community
129,fighting-anti-sicilians-for-the-najdorf-player/course/2761/,Fighting Anti-Sicilians for the Najdorf player,Opening course,"NM logozar (2588 Online Rating, 2226 USCF, 2058 FIDE)",3.99,18.98,4,38,141,black pieces,0,1,1,1,0,English,"7,959",,137,9.2,"Apr 25, 2017",Unspecified,Titled player
130,queens-gambit-accepted-grind-for-the-win/course/3708/,Queen's Gambit Accepted - Grind For the Win,Opening course,Mineriva,4.99,4.99,4,20,30,black pieces,0,1,1,1,0,English,"8,567",,40,19.67,"Oct 30, 2019",Medium,Community
131,moves-ahead-1-vision-in-calculating-mate/course/34094/,Moves Ahead 1: Vision in Calculating Mate,Tactics course,AlanB,8.99,5.99,4,28,51,both pieces,0,1,1,1,0,English,"19,760",,100,3.77,"Feb 26, 2020",High,Community
